Handle,ObjType,Content,Layer,Extra,Label
B04EC3,AlignedDimension,Texcal  Flowline R/W  3983,F-FLOWLINE-T,Compass 5 000,True
B04F24,BlockReference,GAS,F-WS-S,5.000000000000116,True
B04F25,MText,Texcal 10.00 P/L R/W PLA 231028,F-RW-T,10.005352463353931,True
B0571E,AlignedDimension,ATCO  Power Line R/W  930316,F-EZE-T,Compass 5 000,True
B05782,MText,Texcal 2-24 (Surface) MSL 6516 (Expired),F-WS-T,9.994650400000266,True
B05784,AlignedDimension,Texcal  P/L R/W  932 1857  930314,F-RW-T,Compass 5 000,True
B057D8,AlignedDimension,Texcal  A/R  920968,F-AR-T,Compass 5 000,True
B0601E,AlignedDimension,Texcal  P/L R/W  942 3477  940173,F-RW-T,Compass 5 000,True
B0608F,MText,Town of Fox Creek Water Well DML 040053,F-WS-T,9.994650400000266,True
B06092,AlignedDimension,Paramount  P/L R/W  072 4127  021689,F-RW-T,Compass 5 000,True
B060DC,AlignedDimension,Paramount  P/L R/W  042 1274  982399,F-RW-T,Compass 5 000,True
B06135,BlockReference,GAS,F-WS-S,5.000000000000116,True
B06136,BlockReference,GAS,F-WS-S,5.000000000000116,True
B06148,MText,Paramount 8-24 (Surface) MSL 982083,F-RW-T,9.994650400000266,True
B0614A,AlignedDimension,Paramount  A/R  981548,F-AR-T,Compass 5 000,True
B061A3,MText,Texcal  8-24 (Surface) MSL 930440,F-RW-T,9.994650400000266,True
B0699F,AlignedDimension,Texcal  A/R  930440,F-AR-T,Compass 5 000,True
B069E9,AlignedDimension,Texcal  P/L R/W  932 1861  930342,F-RW-T,Compass 5 000,True
B06A3B,AlignedDimension,Town of Fox Creek  Waterline R/W  150018,F-RW-T,Compass 5 000,True
B06A85,AlignedDimension,Texcal  P/L R/W  932 0624  920316,F-RW-T,Compass 5 000,True
B06AD6,AlignedDimension,Texcal  P/L R/W  922 1491  910421,F-RW-T,Compass 5 000,True
B06B2F,AlignedDimension,Texcal  P/L R/W  752 1416  5577,F-RW-T,Compass 5 000,True
B07C30,AlignedDimension,Whitecap  P/L R/W  240720,C-AR-T,Compass 5 000,True
B07C72,AlignedDimension,CNRL  P/L R/W  180405,F-RW-T,Compass 5 000,True
B085B6,AlignedDimension,Alliance  P/L R/W  002 3490  981096,F-RW-T,Compass 5 000,True
B0862F,AlignedDimension,Keyera  P/L R/W  200152,F-RW-T,Compass 5 000,True
B08E60,AlignedDimension,CNRL  P/L R/W  180405,F-RW-T,Compass 5 000,True
B08ED8,AlignedDimension,ATCO  Power Line R/W  180169,F-EZE-T,Compass 5 000,True
B0AAD1,MText,Whitecap FC661-Ext 7-24 (Surface) MSL 240995,C-WS-T,10.005352463353937,True
B0AB1C,MText,UNSURVEYED TERRITORY,L-UNS-T,16.00000000000041,True
B0AB1E,MText,Theor. S.W.1/4  Sec. 24-62-20-W.5M.,C-SYMBOL,20.010704926707874,True
B0BCBB,MText,Theor. S.E.1/4  Sec. 24-62-20-W.5M.,C-SYMBOL,19.989300800000514,True
B0BCBC,MText,UNSURVEYED TERRITORY,L-UNS-T,16.00000000000041,True
B0BCE8,BlockReference,HRV,CG-NOTES,0.9994650400000189,True
B0C606,DBText,Theoretic Government Road Allowance,L-ROAD-T,9.999999999999885,True
B0C616,DBText,Theoretic Government Road Allowance,L-ROAD-T,9.999999999999885,True
B0C61F,MText,Rge. 19,D-TXT,13.999999999999963,True
B0C620,MText,Rge. 20,D-TXT,13.999999999999963,True
B0D72D,BlockReference,*U89,P-PROPOSED-T,0.9998790000000005,True
B11DD9,BlockReference,Route_Letters,CG-NOTES,1,True
B11DDC,BlockReference,AA,CG-NOTES,1,True
B11DDD,BlockReference,Route_Letters,CG-NOTES,1,True
B11DE1,BlockReference,AA,CG-NOTES,1,True
B11DE2,BlockReference,Route_Letters,CG-NOTES,1,True
B14DAC,BlockReference,*U83,0,1,True
B244AE,BlockReference,*U84,CG-NOTES,0.999485,True
B3A845,BlockReference,*U85,0,0.9989510452182907,True
B3A85F,AlignedDimension,ATCO  Power Line R/W  2382,F-EZE-T,Compass 5 000,True
B42DDF,AlignedDimension,Whitecap  Water Line,P-TEMP-BLUE,Compass 5 000,True
B6E2BB,BlockReference,POWERPOLE,AS-POWER-EXISTING,4.997325200000076,True
B6E2BC,BlockReference,POWERPOLE,AS-POWER-EXISTING,4.997325200000076,True
B6E300,BlockReference,*U91,AS-POWER-T,0.9989303661822055,True
B6E30F,BlockReference,AA,CG-NOTES,1,True
B87B8A,MText,L.S. 1,L-SECTION-LSD,10,True
B87B8B,MText,L.S. 2,L-SECTION-LSD,10,True
B87B8D,MText,L.S. 8,L-SECTION-LSD,10,True
B87B8E,MText,L.S. 7,L-SECTION-LSD,10,True
B87DD3,MText,L.S. 3,L-SECTION-LSD,10,True
B87DD5,MText,L.S. 4,L-SECTION-LSD,10,True
B87DD7,MText,L.S. 6,L-SECTION-LSD,10,True
B87DD9,MText,L.S. 5,L-SECTION-LSD,10,True
B9366B,DBText,Theoretic Government Road Allowance,L-ROAD-T,9.999999999999885,True
B9366C,DBText,Theoretic Government Road Allowance,L-ROAD-T,9.999999999999885,True
B9378B,BlockReference,L-SECLBL,L-SECLBL,1,True
B93791,BlockReference,L-SECLBL,L-SECLBL,1,True
B938B5,BlockReference,L-SECLBL,L-SECLBL,1,True
B949C4,BlockReference,*U92,CG-NOTES,1,True
B94B5D,AlignedDimension,Texcal  Communication   R/W  780800,F-RW-T,Compass 5 000,True
B94E08,AlignedDimension,Alliance  P/L R/W  002 3489  981095,F-RW-T,Compass 5 000,True
B94E4D,AlignedDimension,ATCO  Power Line R/W  3054,F-EZE-T,Compass 5 000,True
B94FC1,AlignedDimension,ATCO  Power Line R/W  170159,F-EZE-T,Compass 5 000,True
B95028,AlignedDimension,ATCO  Power Line R/W  170159,F-EZE-T,Compass 5 000,True
B9518C,AlignedDimension,ATCO  Power Line R/W  190147,F-EZE-T,Compass 5 000,True
B95BAC,AlignedDimension,ATCO  Vegetation Control R/W  890416,F-EZE-T,Compass 5 000,True
B95BD4,AlignedDimension,ATCO  Power Line R/W  890428,F-EZE-T,Compass 5 000,True
B95C05,AlignedDimension,ATCO  Vegetation Control R/W  890430,F-EZE-T,Compass 5 000,True
B95C41,AlignedDimension,ATCO  Vegetation Control R/W  890542,F-EZE-T,Compass 5 000,True
B95C85,AlignedDimension,ATCO  Power Line R/W  930316,F-EZE-T,Compass 5 000,True
B95DD4,AlignedDimension,CRR  A/R  2443,F-EZE-T,Compass 5 000,True
B95E04,AlignedDimension,Sprocket  A/R  100369,F-AR-T,Compass 5 000,True
B960CB,AlignedDimension,Murphy  A/R  170679,F-AR-T,Compass 5 000,True
B9690E,AlignedDimension,CNRL  A/R  180265,F-AR-T,Compass 5 000,True
B96966,MText,Trace 27.00 A/R LOC 190533 (Expired),F-AR-T,10.005352463353931,True
B96969,AlignedDimension,PGI  A/R  200765,F-AR-T,Compass 5 000,True
B969AC,AlignedDimension,PGI  A/R  201084,F-AR-T,Compass 5 000,True
B96B15,MText,Theor. S.E.1/4  Sec. 23-62-20-W.5M.,C-SYMBOL,20,True
B96B16,MText,Theor. S.W.1/4  Sec. 23-62-20-W.5M.,C-SYMBOL,20,True
B96B17,MText,Theor. N.E.1/4  Sec. 14-62-20-W.5M.,C-SYMBOL,20,True
B96B18,MText,UNSURVEYED TERRITORY,L-UNS-T,16.00000000000041,True
B96B1A,MText,UNSURVEYED TERRITORY,L-UNS-T,16.00000000000041,True
B96B1C,MText,UNSURVEYED TERRITORY,L-UNS-T,16.00000000000041,True
B96B1E,AlignedDimension,CRR  A/R  211108,F-AR-T,Compass 5 000,True
B96C98,AlignedDimension,Paramount  A/R  851714,F-AR-T,Compass 5 000,True
B96CF1,AlignedDimension,Texcal  A/R  920968,F-AR-T,Compass 5 000,True
B96D2D,MText,Theor. S.W.1/4  Sec. 19-62-19-W.5M.,C-SYMBOL,20,True
B96D2E,MText,UNSURVEYED TERRITORY,L-UNS-T,16.00000000000041,True
B97513,AlignedDimension,Sprocket  A/R  2732,F-AR-T,Compass 5 000,True
B9755F,AlignedDimension,Texcal  A/R  3232,F-AR-T,Compass 5 000,True
B97D91,MText,L.S. 3,L-SECTION-LSD,10,True
B97D93,MText,L.S. 4,L-SECTION-LSD,10,True
B97D95,MText,L.S. 6,L-SECTION-LSD,10,True
B97D97,MText,L.S. 5,L-SECTION-LSD,10,True
B97D9B,MText,L.S. 9,L-SECTION-LSD,10,True
B97D9D,MText,L.S. 10,L-SECTION-LSD,10,True
B97D9F,MText,L.S. 16,L-SECTION-LSD,10,True
B97DA1,MText,L.S. 15,L-SECTION-LSD,10,True
B97EBF,MText,Sprocket 6-23 (Surface) MSL 4591,F-WS-T,10,True
B97EC0,AlignedDimension,Sprocket  A/R  4591,F-AR-T,Compass 5 000,True
B97F71,AlignedDimension,Texcal  A/R  6674,F-AR-T,Compass 5 000,True
B988E5,MText,Sprocket 2-23 (Surface) MSL 9179 (Expired),F-WS-T,10,True
B988E6,MText,L.S. 1,L-SECTION-LSD,10,True
B988E7,MText,L.S. 2,L-SECTION-LSD,10,True
B988E9,MText,L.S. 8,L-SECTION-LSD,10,True
B988EA,MText,L.S. 7,L-SECTION-LSD,10,True
B98908,AlignedDimension,Texcal  A/R  9776,F-AR-T,Compass 5 000,True
B98938,MText,Texcal 8-23 (Surface) MSL 9776,F-WS-T,10.005352463353931,True
B9893A,MText,Sprocket 15-14 (Surface) MSL 071364,F-WS-T,10,True
B98A55,MText,Sprocket 1-23 (Surface) MSL 100498,F-WS-T,10,True
B98A56,MText,Sprocket 9-14 (Surface) MSL 100505,F-WS-T,10,True
B98A57,MText,Murphy 11-14 (Surface) MSL 170592,F-WS-T,10,True
B98A58,MText,CNRL  4-19 (Surface) MSL 180231,F-RW-T,9.994650400000266,True
B98A5A,MText,L.S. 3,L-SECTION-LSD,10,True
B98A5C,MText,L.S. 4,L-SECTION-LSD,10,True
B98A5E,MText,L.S. 6,L-SECTION-LSD,10,True
B98A60,MText,L.S. 5,L-SECTION-LSD,10,True
B98B7E,MText,Texcal  4-19 (Surface) MSL 921213,F-RW-T,9.994650400000266,True
B98B96,MText,Paramount  4-19 (Surface) MSL 983566,F-RW-T,9.994650400000266,True
B9945B,MText,PGI Riser Site PIL 200192,F-WS-T,10,True
B994A4,MText,PGI Riser Site PIL 200194,F-WS-T,10,True
B994A6,MText,PGI Riser Site PIL 200274,F-WS-T,10,True
B994A8,MText,PGI Riser Site PIL 200291,F-WS-T,10,True
B995D1,AlignedDimension,Paramount  P/L R/W  911 RS  3235,F-RW-T,Compass 5 000,True
B995F9,AlignedDimension,Paramount  P/L R/W  911 RS  3235,F-RW-T,Compass 5 000,True
B997CB,AlignedDimension,Texcal  P/L R/W  4037,F-RW-T,Compass 5 000,True
B997FC,AlignedDimension,Texcal  P/L R/W  4037,F-RW-T,Compass 5 000,True
B99877,AlignedDimension,Sprocket  P/L R/W  3915 TR  4864,F-RW-T,Compass 5 000,True
B99A37,AlignedDimension,Texcal  P/L R/W  762 2395  6098,F-RW-T,Compass 5 000,True
B99A8C,AlignedDimension,Texcal  P/L R/W  762 2395  6098,F-RW-T,Compass 5 000,True
B99BCF,AlignedDimension,Texcal  P/L R/W  762 2395  6098,F-RW-T,Compass 5 000,True
B99BFA,AlignedDimension,Texcal  P/L R/W  762 2395  6098,F-RW-T,Compass 5 000,True
B99C4C,AlignedDimension,Sprocket  P/L R/W  092 3095  071492,F-RW-T,Compass 5 000,True
B99DA0,AlignedDimension,Sprocket  P/L R/W  100945,F-RW-T,Compass 5 000,True
B99DC8,AlignedDimension,Sprocket  P/L R/W  100883,F-RW-T,Compass 5 000,True
B99E05,AlignedDimension,Sprocket  P/L R/W  100883,F-RW-T,Compass 5 000,True
B99E26,AlignedDimension,Sprocket  P/L R/W  100942,F-RW-T,Compass 5 000,True
B99E58,AlignedDimension,PGI  P/L R/W  131563,F-RW-T,Compass 5 000,True
B99E84,AlignedDimension,PGI  P/L R/W  131563,F-RW-T,Compass 5 000,True
B99FD1,AlignedDimension,Pembina  P/L R/W  150783,F-RW-T,Compass 5 000,True
B9A14D,AlignedDimension,Secure  P/L R/W  195161,F-RW-T,Compass 5 000,True
B9A179,AlignedDimension,Secure  P/L R/W  195161,F-RW-T,Compass 5 000,True
B9A1AE,AlignedDimension,Keyera  P/L R/W  200152,F-RW-T,Compass 5 000,True
B9A1EF,AlignedDimension,Murphy  P/L R/W  230135,F-RW-T,Compass 5 000,True
B9A20B,AlignedDimension,Murphy  P/L R/W  230135,F-RW-T,Compass 5 000,True
B9A22F,AlignedDimension,PGI  P/L R/W  200319,F-RW-T,Compass 5 000,True
B9A253,AlignedDimension,PGI  P/L R/W  200319,F-RW-T,Compass 5 000,True
B9A3AD,AlignedDimension,Whitecap  P/L R/W  240720,C-AR-T,Compass 5 000,True
B9A4E5,AlignedDimension,Whitecap  P/L R/W  241243,C-RW-T,Compass 5 000,True
B9A56E,AlignedDimension,Texcal  P/L R/W  842 0383  830377,F-RW-T,Compass 5 000,True
B9A5D5,AlignedDimension,Sprocket  P/L R/W  852 1526  840781,F-RW-T,Compass 5 000,True
B9A740,AlignedDimension,Sprocket  P/L R/W  852 1526  840781,F-RW-T,Compass 5 000,True
B9A941,AlignedDimension,Texcal  P/L R/W  932 1857  930314,F-RW-T,Compass 5 000,True
B9A9A0,AlignedDimension,Sprocket  P/L R/W  992 5762  931257,F-RW-T,Compass 5 000,True
B9A9EC,AlignedDimension,Sprocket  P/L R/W  992 5762  931257,F-RW-T,Compass 5 000,True
B9B324,AlignedDimension,Sprocket  P/L R/W  982 3534  971844,F-RW-T,Compass 5 000,True
B9B380,AlignedDimension,Sprocket  P/L R/W  982 3534  971844,F-RW-T,Compass 5 000,True
B9B3CD,AlignedDimension,Paramount  P/L R/W  022 6084  990477,F-RW-T,Compass 5 000,True
B9B526,AlignedDimension,Cenovus  P/L R/W  991761,F-RW-T,Compass 5 000,True
B9B54E,AlignedDimension,Pembina  P/L R/W  1132 KS  2587,F-RW-T,Compass 5 000,True
B9B72E,BlockReference,HRV,CG-NOTES,0.9994650400000189,True
B9C129,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C12A,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C12B,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C12C,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C12D,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C12E,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C12F,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C130,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C131,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C132,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C133,BlockReference,GAS,F-WS-S,4.997325200000118,True
B9C255,BlockReference,Gabd,AS-DRILL-T,5,True
B9C268,BlockReference,GAS,C-WS-S,4.997325200000121,True
B9C269,BlockReference,GAS,C-WS-S,4.997325200000121,True
B9C26A,BlockReference,GAS,C-WS-S,4.997325200000121,True
B9C26B,BlockReference,GAS,C-WS-S,4.997325200000121,True
B9C26C,BlockReference,GAS,C-WS-S,4.997325200000121,True
B9C26D,BlockReference,GAS,C-WS-S,4.997325200000121,True
B9C26E,BlockReference,GAS,C-WS-S,4.997325200000121,True
B9C26F,BlockReference,GAS,C-WS-S,4.997325200000121,True
B9C393,BlockReference,GAS,F-WS-S,5.000000000000116,True
B9C394,BlockReference,GAS,F-WS-S,5.000000000000116,True
B9C395,BlockReference,GAS,F-WS-S,5.000000000000116,True
B9C396,BlockReference,GAS,F-WS-S,5.000000000000116,True
B9C397,BlockReference,GAS,F-WS-S,5.000000000000116,True
B9C398,BlockReference,GAS,F-WS-S,5.000000000000116,True
B9C399,BlockReference,GAS,F-WS-S,5.000000000000116,True
B9C39A,BlockReference,GAS,F-WS-S,5.000000000000116,True
B9C4F2,BlockReference,*U85,0,0.9989510452182907,True
B9C9C2,BlockReference,*U156,P-TEMP-BLOCKS,0.99948,True
B9CA2C,BlockReference,*U157,CG-NOTES,0.9990722121599998,True
B9CC8F,BlockReference,*U158,0,0.9989510452182907,True
B9CCB6,BlockReference,*U158,0,0.9989510452182907,True
B9CEF3,BlockReference,*U85,0,0.9989510452182907,True
B9D018,BlockReference,*U159,CG-NOTES,0.9990722121599998,True
B9D04D,BlockReference,xing2,P-CROSSINGS,1,True
B9D054,BlockReference,xing2,P-CROSSINGS,1,True
B9D171,BlockReference,xing2,P-CROSSINGS,1,True
B9D178,BlockReference,xing2,P-CROSSINGS,1,True
B9D17F,BlockReference,xing2,P-CROSSINGS,1,True
B9D186,BlockReference,xing2,P-CROSSINGS,1,True
B9D65A,BlockReference,Route_Letters,CG-NOTES,1,True
B9D65D,BlockReference,AA,CG-NOTES,1,True
B9D65E,BlockReference,Route_Letters,CG-NOTES,1,True
B9D661,BlockReference,AA,CG-NOTES,1,True
B9D662,BlockReference,Route_Letters,CG-NOTES,1,True
B9D665,BlockReference,AA,CG-NOTES,1,True
B9D77F,BlockReference,Route_Letters,CG-NOTES,1,True
B9D782,BlockReference,AA,CG-NOTES,1,True
B9D787,BlockReference,Route_Letters,CG-NOTES,1,True
B9D78A,BlockReference,AA,CG-NOTES,1,True
B9D78B,BlockReference,Route_Letters,CG-NOTES,1,True
B9D78E,BlockReference,AA,CG-NOTES,1,True
B9D794,BlockReference,xing2,P-CROSSINGS,1,True
B9D79B,BlockReference,xing2,P-CROSSINGS,1,True
B9D8B8,BlockReference,xing2,P-CROSSINGS,1,True
B9D8C8,BlockReference,xing2,P-CROSSINGS,1,True
B9D8E1,AlignedDimension,CRR  A/R  211108,F-AR-T,Compass 5 000,True
B9D900,BlockReference,xing2,P-CROSSINGS,1,True
B9D917,BlockReference,xing2,P-CROSSINGS,1,True
B9D91E,BlockReference,xing2,P-CROSSINGS,1,True
B9DA3B,BlockReference,xing2,P-CROSSINGS,1,True
B9DA42,BlockReference,xing2,P-CROSSINGS,1,True
B9DA4E,BlockReference,xing2,P-CROSSINGS,1,True
B9DA55,BlockReference,xing2,P-CROSSINGS,1,True
B9DA5C,BlockReference,xing2,P-CROSSINGS,1,True
B9DB79,BlockReference,xing2,P-CROSSINGS,1,True
B9DB80,BlockReference,xing2,P-CROSSINGS,1,True
B9DB87,BlockReference,xing2,P-CROSSINGS,1,True
B9DCA4,BlockReference,xing2,P-CROSSINGS,1,True
B9E540,BlockReference,*U161,CG-NOTES,0.999485,True
B9E68C,BlockReference,xing2,P-CROSSINGS,1,True
B9E7A9,BlockReference,xing2,P-CROSSINGS,1,True
B9E7B0,BlockReference,xing2,P-CROSSINGS,1,True
B9E7B7,BlockReference,xing2,P-CROSSINGS,1,True
B9E7BE,BlockReference,xing2,P-CROSSINGS,1,True
B9E7C5,BlockReference,xing2,P-CROSSINGS,1,True
B9F0B9,BlockReference,xing2,P-CROSSINGS,1,True
B9F0C0,BlockReference,xing2,P-CROSSINGS,1,True
B9F0C7,BlockReference,xing2,P-CROSSINGS,1,True
B9F1E4,BlockReference,xing2,P-CROSSINGS,1,True
B9F1EB,BlockReference,xing2,P-CROSSINGS,1,True
B9F1F2,BlockReference,xing2,P-CROSSINGS,1,True
B9F30F,BlockReference,xing2,P-CROSSINGS,1,True
B9F316,BlockReference,xing2,P-CROSSINGS,1,True
B9F31D,BlockReference,xing2,P-CROSSINGS,1,True
B9F324,BlockReference,xing2,P-CROSSINGS,1,True
B9F32B,BlockReference,xing2,P-CROSSINGS,1,True
B9F448,BlockReference,xing2,P-CROSSINGS,1,True
B9F565,BlockReference,xing2,P-CROSSINGS,1,True
B9F56C,BlockReference,xing2,P-CROSSINGS,1,True
B9F57C,BlockReference,xing2,P-CROSSINGS,1,True
B9F583,BlockReference,xing2,P-CROSSINGS,1,True
B9F58A,BlockReference,xing2,P-CROSSINGS,1,True
B9F591,BlockReference,xing2,P-CROSSINGS,1,True
BA27D5,AlignedDimension,Whitecap  Water Line,P-TEMP-BLUE,Compass 5 000,True
BA4626,BlockReference,L-SECLBL,L-SECLBL,1,True
BA49DB,AlignedDimension,Paramount  P/L R/W  911 RS  3235,F-RW-T,Compass 5 000,True
BA4B5F,MText,Theor. N.W.1/4  Sec. 13-62-20-W.5M.,C-SYMBOL,20,True
BA4B60,MText,UNSURVEYED TERRITORY,L-UNS-T,16.00000000000041,True
BA4B62,MText,L.S. 11,L-SECTION-LSD,10,True
BA4B64,MText,L.S. 12,L-SECTION-LSD,10,True
BA4B66,MText,L.S. 14,L-SECTION-LSD,10,True
BA4B67,MText,L.S. 13,L-SECTION-LSD,10,True
BA4B7B,BlockReference,Temp_Area_Small_Pink,P-100m WELL BORE BUFFER,1,True
BA4CB2,MText,SEE DETAIL,DETAIL-T,16,True
BA4CB4,MText,DETAIL NOT TO SCALE,DETAIL-T,20,True
BA4E4E,AlignedDimension,Telus  Cable R/W  3568,F-RW-T,Compass 5 000,True
BA4FB8,MText,Texcal  3.48 Cable R/W DLO 4501,F-RW-T,10,True
BA4FB9,MText,Town of Fox Creek Water Well DML 040053,F-WS-T,9.994650400000266,True
BA4FBB,AlignedDimension,Texcal  Cable R/W  780799,F-RW-T,Compass 5 000,True
BA6246,AlignedDimension,ATCO  Power Line R/W  2382,F-EZE-T,Compass 5 000,True
BA6272,AlignedDimension,ATCO  Power Line R/W  2527,F-EZE-T,Compass 5 000,True
BA629E,AlignedDimension,ATCO  Width   Control R/W  890430,F-EZE-T,Compass 5 000,True
BA64EF,AlignedDimension,PGI  A/R  2439,F-WS-T,Compass 5 000,True
BA6533,AlignedDimension,CRR  A/R  2443,F-EZE-T,Compass 5 000,True
BA6677,MText,Sprocket 12-13 (Surface) MSL 4771 (Expired),F-WS-T,10,True
BA667B,BlockReference,GAS,F-WS-S,4.997325200000118,True
BA667C,BlockReference,GAS,F-WS-S,4.997325200000118,True
BA6691,AlignedDimension,Texcal  A/R  5967,F-AR-T,Compass 5 000,True
BA67F0,MText,Texcal Compressor Site Plan 812 2880 PIL 810012,F-WS-T,10,True
BA681A,MText,Sprocket Riser Site PIL 140474,F-WS-T,10,True
BA681C,AlignedDimension,Paramount  P/L R/W  911 RS  3235,F-RW-T,Compass 5 000,True
BA6974,AlignedDimension,Texcal  P/L R/W  4037,F-RW-T,Compass 5 000,True
BA69B0,AlignedDimension,Texcal  P/L R/W  762 2395  6098,F-RW-T,Compass 5 000,True
BA69FC,AlignedDimension,Texcal  P/L R/W  752 1416  5577,F-RW-T,Compass 5 000,True
BA6C78,AlignedDimension,Texcal  Flow Line R/W  4954,F-RW-T,Compass 5 000,True
BA6CAC,AlignedDimension,Texcal  P/L R/W  050859,F-RW-T,Compass 5 000,True
BA6CF8,AlignedDimension,Sprocket  P/L R/W  092 1439  071446,F-RW-T,Compass 5 000,True
